"","V1"
"772","VERY pleased.  I have lived with a ""smart TV"" that I always thought was sluggishly stupid.  Loading streaming data (or even starting the smart TV function) took many minutes.  And FF, RW was done blindly and nearly never landed where I hopped would.  To top it off, content, Amazon for example, would never go full screen.  All those complaints are gone with this stick.  And the remote is pretty slick.  I always wondered why someone would buy a device like this when their TV was already ""smart"" - now I know the answer.  Clearly the technology in this stick beats that in my Sony Bravia by miles.  If you have the same gripes with your TV, you will be sure to be as impressed as I have been with the stick."
"773","I can't believe the clarity of the pictures and movies on my tv. Offers so many options. Even a cheesy version of parental controls that I'm still trying to figure out. I am very satisfied with it. I do wish it was independent from all cable providers, but now that's dreaming."
"774","Amazing for on $40. So small, but it provides so much. We use it primarily for Netflix and there is actually a fair amount of Amazon prime content. Plus it is easy to add other Apps. Oh and the voice recognitions works great and you get Alexa. Can't beat it for $40"
"775","Best thing ever!!!!!!!!!!  Chrome cast is boo boo compare to this.  Wish I had bought it a long time ago. I can stream anything on my phone and car it on an older non smart TV.  Also it's super clear. Better than regular DVD quality. It's almost like note ready quality."
"776","Bought it as replacement for y google Chrome cast. Works way better and i like idea being able to connect multiple apps in one device. So far i have no issues with it and works very well for me. Very easy setup process took me around 3-5 minutes. Nice quality product."
"777","I had to buy this through one of Amazons pop up stores in the mall because online had been sold out for awhile and I needed it for Christmas. I got this for my grandma who watches hulu and netflix on her tablet and was originally going to buy her a whole new tv and get a smart tv but this seemed to be a cheaper and easier option. Its Christmas Eve, its all setup, and now were watching Grantchester on Prime Video. Grandma loves it, I love it, and its super easy to use. Just say what she wants and it comes up. This is an awesome idea and a great gift. Were both super happy with the product. If i didnt have a smart tv already, id buy another one of these for myself. Absolutely fantastic gift."
"778","I received the fire TV stick as promised. I was somewhat disappointed in the instructions given for effectively using the functionality of the Fire stick or procedures for navigating around the Fire Stick. There was not any HELP given as to what procedures are needed to utilize the Fire stick. One of the features not given was the capability to 'side load' other applications on the fire stick. I could not find any in-depth instructions for using all the capabilities of the Fire stick. Other then the above, for the price, you get the functionalities noted.It's like getting a new car with all the bells and whistles but not getting a user manual to help you use those bells and whistles."
"779","I purchased my firestick on black friday because it was an awesome deal. Up until now, I've relied on an HDMI cable connected to my computer for netflix because I don't have an internet ready HDTV and the firestick is *so* much easier for that purpose with better picture quality. I've been very impressed so far, between all the prime content, music, and ability to use apps I won't miss anything canceling my TV subscription when the contract is up. I'm not sure the value would be as great without also being a prime subscriber, but I use prime for so many things I won't be dropping it any time soon. The interface is very easy to use for navigating to your favorites & discovering new content."
"780","I bought four of these for each of my TV's and then I called Time Warner and I cancel my cable I'm saving about $100 a month by just using a couple paid subscription Hulu and Sony vue. It great i cut the cable save money and have more choices. Now the bad news. Amazon list a lot of free apps and some are free but most of them are not. To find out you must first download the app, then install  it, then open it, then choose a show you then get a code that you need to go to the app Web site, then enter that code, have your email checked, you then find out that the ABC free app is not free to use. Amazon should have a list of the apps that are truly free and a list for the ones that have a fee associated with it."
"781","The Fire TV Stick has a great UI and app lineup. Overall, I have found this to be a good product with minimal negative aspects. I really only have two primary complaints:1.) The Fire TV Stick has poor range for receiving WiFi signal. Supporting 5 Fire TV Sticks in my household required me to add WiFi range extenders and an additional access point. The numerous other devices on my wireless network had no trouble with my previous set-up.2.) The Fire TV Stick requires a wireless network connection. Since we are talking about a lot of HD video streaming, I would appreciate the ability to hard-wire the device."
"782","I would give the Fire TV stick 5 stars but, I am having issues with the way its functioning...  I would like to know, is there a way to reset or shut the Fire stick off, I know to unplug it to reset it and I found the sleep mode but, when binge watching my favorite TV show the system locks up.I tried resetting my modem also.currently I have 3 Fire TV sticks (one for each TV in the house) and I am switching between them to be able to watch TV using the stickplease help, thanks"
"783","I love firestick a this is my third one purchasing. Cable is so overrated flipping through channels not knowing what to watch. The firestick is the best thing ever invented. As long as you got good internet and clear you cache you will be all set with no buffering"
"784","Enjoyed using it for the few days that i used it, Loaded Kodi on it and found it much more useful however i did notice some lagging when streaming some content. I will admit i do have alot of wifi connected devices being used so that probably plays into some of the laggy-ness. Many cell phones , laptops, ipads, in my household sucking up all the wifi bandwidth. It did get better when most of the devices were shut down or not in use. I opted for the Amazon Fire TV for the hardwired capability instead , and will be giving this away as a gift to a friend. Would definitely recommend especially after loading Kodi. Now only if Amazon does not block Kodi in the near future this will continue to be a very popular item"
"785","I am glad I purchased it but I don't know what I would do without my other another programs. This just seems to be at a portal to many other programs. I am not that happy with the voice command. The voice command needs work. For a one time purchase, it is just ok."
"786","The remote drains batteries. I imagine that's because the microphone is probably always on whether we want it to be or not. This leads to the remote being constantly disconnected. I will need to open the remote, remove the battery, then put it back in just to get the remote to connect to the stick again. If I replace the battery, it'll stay connected for a longer period. Like a week. But, awesome product. I don't have Prime, but it's great for running Kodi. It handles HD. Maybe not the best quality you can get, but definitely HD."
"787","I have two Fire TV boxes and needed a third. I decided to try the Fire TV Stick instead of the Fire TV Box and boy was I glad. Not only it is cheaper, it works just as good at the box. I love the Fire tv's and highly recommend them. Easy to use, fast and voice search. They are definitely the best of streaming devices."
"788","I like the Fire TV stick. I have two smart TV's but was given a TV that doesn't have smart TV capabilities. I am so spoiled by smart TV's that I didn't quite know what to do with this one, so I invested in the Fire TV stick. This gives me the same applications and functions as my Roku TV's. Very inexpensive, easy to set up, and user friendly!"
"789","I have 2 fire TV boxes and a fire TV stick. The stick was new to me, but once I figured out how to download files to it, I copied my kodi configuration to it and had the same as my two boxes. The boxes have a USB port so u was used to that. The stick only has WiFi and it works great on Amazon, hbo go, Hulu and direct TV now. I gave 4 star because the power cord for the stick is a little short for where my tv is and the plug."
"790","UPDATE 07/29/17 -- This is our third Fire TV stick for another tv in our home.  We recommend this to everyone.We already had one of the original FireTV. . .this Fire TV Stick works just as well as the original and at a very reduced price.  Actually I got this on Black Friday for the $29.99 sale price.  I believe that I have FINALLY convinced my husband to get rid of our cable tv subscription.  By switching to an internet only subscription, and then adding SlingTV, we will be SAVING about $120.00 a month AND will still get all the ""TV"" channels he wants and needs, including live Fox Sports 1, Fox and ESPN, along with all the videos from Amazon and Netflix.  I am so excited to finally cut the cord with cable TV, and boosting our internet speed."
"791","I am so glad we got this ! My husband likes to watch movies in the winter. We were paying ridiculous amounts of money all year to have movie channels with our satellite company for just a few months. At first it took me a bit to talk him in to it because he is not tech savvy at all and didn't understand how much more he would be able to choose from, including TV series. Plus, our satellite would go out because of weather conditions making him a very unhappy camper. We don't watch TV a lot, but it's frustrating when it goes out. I went ahead and ordered it knowing he would like it too, and I was right! He realized it isn't hard to operate and we like that fact that we can just ask Alexa!!!"
"792","I like the fire stick. I rely on it for pretty much all entertainment needs, I do KODI ( its doesnt work as well as the box, but still works) netflix, news, youtube ect. Super handy I hope everyone gets a firestick and turn off the cable cuz that crap is a rip off."
"793","The device was easy to install, there were simply written directions that included how to use the enhancements such as the Kodi app. I did need to ask for help from a Millennial in clearing the cache to help it to run more smoothly."
"794","It just arrived this morning. It was easy to install, and easy to install apps like Netflix and DirectvNow, and it works very well.  I plugged the usb charger cord into the usb port on the back of my tv and this seems to power the stick adequately.  With Alexa voice, it is so easy to switch between apps, just say the app name instead of going to Home and scrolling up and down.  This was the free unit that came for prepaying one month of DirectvNow.  I can't wait for the second unit that I bought through Prime to arrive later today.  This was way faster and easier to set up than my Roku Express sticks. I'm thinking my husband will want to drop cable tv once he learns how to work the remote :-)"
"795","Love this !!  It enabled me to view photos from my tablet and play games in addition to turning my older TV's into smart TV's which allows me access to watch my Amazon Prime movies,  and much more.  You have music options as well.  I'm not good at explaining things but hopefully you understand  :)  I Couldn't believe how easy it was to hook up and was watching in five minuets!  Questions? Amazon is right there to answer them!  I have used it on two TV's  and everyone loves it as much as I do.  A must have !!"
"796","Much better than I had anticipated.  I have a Roku on my living room TV and love it so was not sure how this would do in comparison.  It is better by far.  The processor is much fast and there is no lag time whatsoever.  Super easy to set up and was watching Prime videos in no time at all.  I should say that the silly remote control is a HUGE pain to open up.  I had to go to YouTube to find a way to open it that was short of throwing it at a brick wall.  The secret is using a pair of rubber gloves to get a good grip and push up and out.  It is easierafter that.  Excellent price, quick delivery thanks to Prime, and really a super product that lives up to and exceeds expectations.  Buy it."
"797","Simplifies signing on different apps to use the resources I have. Amazon Prime, Netflix, Hulu, PBS, YouTube, and the list goes on...Plug it in a USB port, then plug power cord into an electric outlet.Push Home to turn on and it turns on my TV as well."
"798","The cord supplied with the the Firstick is ant an HDMI cord but a USB cord. This contradicts the instructions.I see there is a contract involved here. The first month free then $20 a month.Things are not what they seem.Why didn't the reviewers mention this?"
"799","I am loving my new Fire TV Stick, have had Roku for years, and loved those and still have a couple on other TV's but will probably replace them when I have to with the new Fire Stick... Still working on all the good things it does, but do make use of Alexa often.  If you are considering it I would say  go for it.. buy it.. it is a bit different from the Roku, but the price is great and I think you will be plaease when you start to use it."
"800","Fantastic for cutting the cord.  We have this hooked to a 1080p monitor, and the display is great.  We haven't tried it with any 4k content.  Only complaint is that the USB power cord is a bit too short for wall mounting with a baseboard level outlet.  We could all use a couple more inches."
"801","We finally cut cable. After a few months, I can truly say... we don't miss it. Product works great and paired with Prime, loads of great stuff to watch & listen to... with no commercials! I also like being able to ask it questions, like ""what time is it?"""
"802","One of several we own.  Breakthrough tech, easy install and use.  Actually prefer the fire stick  over the ""smart"" tv's we own.  Firestick is faster, plus  will be cheap to upgrade if needed. (had a problem with on stick remote.  Replace rapidly by Amazon!"
"803","Have only used to Fire TV Stick a couple times.  Takes a bit of time to get use to it and how to use the voice commands so it understands you.  But so far with the few things I've used it for.. no complaints.I do put my Fire TV Stick to ""Sleep"" each time I am finished using it, but so far I haven't seen much increase in my Data Usage on my internet connection.  That I am happy about."
"804","We were wanting to quit our satellite tv after they raised our bill $30 a month.  We already had a roku box but it's an old one.  I liked the idea of the stick being plugged in and no box sitting on my tv stand with the wires.  The second thing that made me to decide on this was the Alexa Voice Remote.  I just push the button and tell Alexa what I want to see and it pops up without all the searching.  We cut out our Satellite and it's been about 3 weeks and we haven't looked back.  The installation was flawless and we already were Prime members for about 4 years and we were up and going in about 10 minutes.  You won't be sorry if you get this.  Just wish I had down the switch long ago."
"805","Dispensed with cable.Minimized TV watching to 1 hour, once per week, free, parent approved shows only.Several free quality options.News app required for news hungry adults.Prime members- lots of free, quality video options.Changed Netflix to streaming, and they offer fewer movie options with streaming.Pros- one time purchase, easy hook up, no commercials ever, voice navigated with Alexa."
"806","We love it! It's easy to install and user friendly. The kids use Alexa to make searching easier. We use Netflix, Amazon and Hulu for viewing and have an antenna for local channels, our local cable provider isn't an option in the apps...but we are okay with that!"
"807","Love it..easy to Hanover and content is huge..also Ammazon makes it easy to sign up or delete the Dr e channels that did not work for us...we had the big  'D' satellite  receiver for years..this is so much better and huge savings to watch what  we want.  Love it"
"808","I like the 2nd gen FireStick better than the first. It doesn't crash at all and actually stays connected to my WiFi. When I received my device, it was already connected to my account unlike my first one. It also carried over all my apps and channels I already used from my laptop and 1st gen FireStick. No complaints."
"809","This was a gift. We are still getting used to it. It is a little difficult to operate. Alexa does not always respond to our commands. We really haven't found much viewing that is to our liking, so not sure what we are doing wrong! Our kids love their fire stick."
"810","This stick performs wonderfully for viewing and searching. But I can't figure out how to put in parental controls on purchases without also having to put in a passcode every time I change apps. I specifically went into settings and turned off controls on app launches, but it demands them anyway."
"811","So far so good.  Just make sure you have a password to protect anyone from accidentally saying something causing Alexa to put an order in you didn't expect. :) You can set parental controls too.  Just working on figuring out how to mirror the fire stick with my android phone."
"812","we have two different wifi tv systems, the fire stick is by far the best. I don't use the voice controller, but if you are looking for a new way to beat the high cost of cable or satellite this is a great way to go. easy to load all your television aps but does need to be rebooted from time to time but so worth it when you realize you can save 100s by ditching the companies."
"813","We don't have cable, but we do have a subscription to all of the services (hulu, netflix, etc.).  One of our TVs didn't allow for access to these, so the firestick was the perfect solution to that problem.  Easy to install and even easier to use.  Great product."
"814","Installation took about 3-5 minutes and then I was off and running searching Amazon and trying out the YouTube app.The remote is very nice and operates on Bluetooth and not infrared.  Makes it very convenient when listening to music while doing things around the house to change playlists or mute it for phone calls.  The voice interface so far is about 90%-95% accurate for me.  My only complaint with it is that it won't interface with the YouTube app (or any other app it seems), requiring you to use the remote buttons to enter search strings.  Very inconvenient.  The Bluetooth keyboard (available separately) supposedly interfaces with these apps but voice is so much easier."
"815","I bought mine at Best Buy because I didn't want to wait. Plex and Kodi work flawlessly on it, unlike the Roku stick I tried which doesn't even support Kodi.NOTE: For those complaining about powering it on and off by power source, just connect the power USB cable to a USB port on your TV instead. That way it will only power on when your TV is on."
"816","Better interface than a smart TV for your netflix, hulu, and Amazon Prime, and this also has more apps, like the Jackbox party games, which are awesome if you have a group of adults coming over and you want to play games without worrying about cards or board games."
"817","The Fire TV Stick itself works great so far, and technically merits 5 stars.However, I was almost ready to return the Stick's remote as DOA until I noticed something that is either a blatant design flaw or somehow made it through QC. The battery direction imprinted on my remote was backwards. This is my 2nd Stick (I also have a 1st generation Stick in addition to this 2nd generation Stick). The batteries are supposed to be inserted in the same direction on both Sticks. However, the direction imprinted on my new 2nd generation Stick was backwards. Once I realized that the flat (-) side of the battery could not touch the (-) terminal I flipped the batteries and now everything works."
"818","For $40 - wow.  This streaming stick is great - super fast speed (as far as streaming sticks go), tons of channels and great design. I've had two generations of Roku and two generations of Fire TV. This is my favorite hands down due to the fast processing power and slick ""no buffering"" streaming functionality. There are more capable devices if you are willing to spend more - but for less than $50 - there is nothing better on the market. The only negative remark I have for this device is that there is no VUDU channel available unless to go the side load route (which I have no desire to do). I have had the more expensive Fire TV box before - that was a great experience as well."
"819","Remember when water used to be free?  Who would have ever thought that one day we would be paying to drink water to replenish our body supply?  Well, same thing with television.  Who would have ever thought that one day we would have to pay to watch news and entertainment?  I'm thankful for the Firestick for bringing back ""free"" television viewing (wifi charges only).  Cable and Satellite have made millions, perhaps billions of dollars from customers. I hope they get run out of business!  I love the Firestick!  I tell everyone I come in contact with to dismiss the ""Dish,"" table the ""Cable"" and go ""Direct"" to the ""Stick,"" it has them ALL licked!"
"820","I was really excited about my purchase on the Fire Stick.. I should have done a little more research because I figured I would purchase the firestick, and with my Prime Membership would be able to watch stations of my choice. However, when I got the Fire Stick and connected it to my TV I then learned that I have to pay a separate monthly subscription for every channel that I want to view programs for. Showtime, Cinemax, ESPN, Starz etc...."
"821","this stick is cute but appears somewhat fragile, be gentle when changing batteries. it works nicely BUT it comes preloaded with account info I would prefer not to have loaded and in many ways programmed like Apple TV with pay for everything apps charged right to your Amazon act, even the youtube is a subscription to VEVO not the same youtube I like, but It can be programmed to get other APPS if you like,,,it can make any tv a smarter tv.it has HDMI cable for modern tvs and if you have an older tv I believe you can get cables for that too.all in all after tweaking it it's a nice device"
"822","Fantastic  so easy to set up and use  Amazon's library is huge and with Alexa it is a breeze to find things. NO SCROLLING to waste time  just ask and boom.  Streams with no lag and has great HD.  I live in the boonies so even wifi is satellite and it works fine"
"823","I was using a Nintendo Wii to watch my Netflix and Hulu...until it crashed and burned so I decided to try this instead of another Wii.  I was pleasantly surprised how much more user-friendly this is to use!!!  So much easier to use the remote on the Fire stick,"
"824","Love our fire stick.  Hurt my back and was laid up for a week and with the fire stick i was able to rewatch all the Downton Abbey shows.  So convenient  being able to watch whatever I want whenever I feel like it.  Thank you Amazon for another terrific product."
"825","Along with my echo and kindles (both paper white and fire) the Fire Stick is another great Amazon product. I feel a little embarrassed how much of a brand devotee I am with this company but they make good stuff. Almost no install time and it is lightening fast."
"826","The fire stick is the best thing to come out. I'm able to watch anything i want. Local Tv networks and all movies old and new. I mean there is so much to watch on this fire stick. I got rid of my cable service and brought the fire stick.You still need internet in order for the fire stick to work, but its worth getting rid of cable. And i'm good with that."
"827","Is very slow. I have an apple TV and the Firestick is not as smooth; HOWEVER, it isn't bad for this price. If I recommend it it to people I'm going to let them know it'll lag from time to time. And the interface is kind of clunky. But besides those things, it's not bad."
"828","This is my second Fire Stick. I was using something else in my bedroom, but was not getting good reception,as my router is in my living room. I decided to try the Fire Stick in my room and wow! no problem with wifi. I thank you for a wonderful product. Everyone should have one."
"829","I have bought 2 of these and I couldn't be any happier! It came in the mail on time. It's so easy to navigate and I no longer have to pay for cable! It is definitely something I recommend to people at least once a week! I love my Amazon Fire Sticks!"
"830","CUT THE CABLE CORDS!! I'm not sure why I was so hesitant but I am so glad I decided to just give this a try.  We love it!!  We already have Netflix, we signed up for Amazon Prime ($91/yr which is only $7.58/month!!!) and Sling TV.  I will say it has been so good to ask ""Alexa"" to find this and that and ... POOF there it is!  We were getting over 200 cable channels and over the last 2 months we hardly strayed from 4 or 5 of the same channels with same shows on over and over.  This has been such a wake up call for us and there is so much to Amazon Prime that my daughter can watch and learn during her tv time!  Do it!"
"831","I just set mine up last night and it was super easy! I logged into all of my streaming services, set my preferences and was ready to go! So much better than cable! And, I love ALL of the different app options you have. Don't know why it took me so long to buy this!"
"832","BUY IT. It's cheap,  portable, and gives you access to everything. It's a no brainer for multiple televisions."
"833","Replaced the old fire stick (which was pretty much crap) with this new one. What a difference! I've been on it everyday for the past week and have watched countless movies and shows with not even a hint of a problem. And, Alexa is convenient. Love it, love it, love it!"
"834","Love the Firestick even though the basic stuff that you think will be free.....isn't, as people assumes. You know what happens when you assume though. Definitely cut my cable bill by $100.00. Had a problem with one of the them, but instead of going through the hassle after emailing them I just purchased another one. If I would of received my Protection Plan paperwork, I would've taking another route."
"835","LOVE the Firestick!  What a great alternative option to expensive cable packages.  Easy to install and super-fast delivery.  Still in the exploring mode of all its functionality, but am happy so far!  Will be purchasing additional sticks for other TV locations."
"836","Still trying to use it to access an existing subscription service, but running into roadblocks. Delayed in further checkout, but when trying to access Netflix, it errors because my billing information in my Amazon account is incomplete. I prefer that way, so I won't be billed for something I didn't ask for. I only need the stick to access Netflix, that I have already been accessing by my Wii device. ConfusedUpdate, after putting in a billing address, with no credit info, I now have access.  Works fine for what I want."
"837","This is not a fair review as I only got the Fire Stick installed two days ago. So far it seems OK but I am a little disappointed to learn that I need to become a ""Prime"" member to be able to utilize more options. I probably will not do that right away..."
"838","The more I use it the more I love it. I am still learning the things the Fire TV Stick can do but I am very happy so far. I recently purchased an antenna because the price of Comcast cable has gotten so high and I wanted to see if I can do without cable tv. The hardest part for me will be losing the DVR ability to schedule the recordings of shows I want to watch, so if anyone has a work-around for that please let me know.Between the antenna and the Fire Stick and amazon prime shows and movies, I think this may work out and at a substantial savings.The Fire TV Stick was very easy to install and the provided adapter allowed me to use it on my older (10 yr) TV."
"839","Pros: It works well. The interface is easy to use and set up. Most of the apps run without issue and pretty much every network has an app.Cons: Switching between apps is a little disjointed, there is not a lot of free content (with out having a cable subscription) especially in the way of live tv, and the subscriptions to many of the services adds up quickly back to the price range of having cable. Not quite the versatile cord cutting device I was hoping for. Also the content and apps you don't have are listed first and easiest to access while the content you have downloaded gets buried in the selection guide."
"840","I bought two of them, both worked as advertised, however I have only one detraction perhaps someone can help me?  Many times when I turn on the TV (after the TV has been off for a few hours or more) the Firestick information does not come up and I have to unplug the Firestick from the wall and plug it back in....it will then work...has anyone else experienced this problem?"
"841","The good, I have uograded from an older version of the firestick to this newer version. The newer version is well worth the upgrade!!! It is at least twice as fast as the older one. There is no downside here what so ever!! You zip by the apps with lag time. The apps open up very fast and run great without crashing. The packaging is great, you recieve everything you need to get you up and running, it even brings batteries for the remote. Speaking of the remote, very light weight and comfortable. The voice feature is very handy and easy to use, in case you don't want to type anything. There is no ugly here!!  Well if you thought this review was helpful smash the I found this useful button!!!"
"842","Had to return it as Charter / Spectrum is not one of the cable companies that is available for streaming services. I got a Roku and that worked."
"843","The headline is for the hard headed engineer's.  This works great without taking up much space. However the remote constantly needs rebooting for no apparent reason. Seriously the remote sucks, good thing there's an app or my second firestick would be useless."
"844","After opening and removing all items from package (more items than expected) attempted to insert battery into fire stick but it was hard to remove the back cover; required more force than it should have needed.After that it was easy to assemble and install onto my HD TV.  I forgot the password for my new AC class router so the wps button was the quick solution, no buffering. Very satisfied."
"845","I just recently received and installed the firestick. Installed kodi and it works marvellous. Netflix tends to buffer a lot, I'm deducting 1 star due to that reason. The processor hold up well for some game and video. Screen mirroring works well when it works, I will update on that on later date. Overall, it's good.Also, your phone could be used as another remote or as a backup, so no need to purchase another one."
"846","I don't use the voice features often, but the speed of this thing us great. Connectivity is great, I also love the parental controls and how it links with my Amazon seamlessly. My only complaint is the size of this thing. I feel like it is huge, and it blocks other HDMI ports on the back of my television"
"847","There's no significant difference between this model and the old. I dont tend to use the speech functions on my devices like others.With that said, I absolutely love the fire stick!! I dumped my Apple TV into storage and bought 3 of these wonderful devices. It has far more options than the apple does!!"
"848","I like the firestick. However, we have slow internet which causes some buffering. Also we are unable to use any other devices if we are watching a movie. This has nothing to do with the firestick itself!  Just a warning for others that might have slow internet."
"849","Amazing especially because of its capabilities. It works perfectly with the hdmi slot on the tv, as long as you have a good wifi connection, no buffering. Its size make it portable and easy to watch on any tv anywhere. Amazon prime has a large library of content to pick from. This is pretty cool."
"850","I just wish I could add apps. I have a show I want to watch on go90 and can't add it. The remote is easy to use and I love that my three year old can easily get to Netflix. The voice choice doesn't work for me because I use apps to watch TV and don't have Prime."
"851","I didn't notice when ordering that it had the Alexa feature, something I will never use. I have another Fire Stick without it and prefer having the selector at the top rather than the Alexa button. It would have been better to put Alexa at the bottom. In general, I'm happy with both. One downside is that you download a ""free Ap"" such as the History Channel or Hallmark but it won't let you watch much. I have no idea why. I'd like to delete them but don't know how."
"852","Sooo the fire stick I received doesn’t work and I’m super surprised and unhappy. It’s weird because this is my second one and the first one worked fine."
"853","It's great few glitches like disconnects from hulu and has to buffer in loading few other apps but over all its great and I love how u can ask questions like ""what is tomorrow's forecast ?"" Or even order food and other items from prime now with 2 hrs delivery with ur prime membership.only thing I wasn't excited about was it doesn't ask for a parental code for purchases and my 2 year old ordered jurassic world pressing buttons on the remote ."
"854","The new one is faster than the first gen model, which is a good thing. I did have a mechanical issue with the remote, and Amazon's excellent customer service handled it smoothly, replacing the whole unit. Did have to re-install all my apps, but it was a rainy day here anyway..... Have not used the voice feature much, seems to work well, but time will tell if it lives up to the hype."
"855","The all-New Fire TV Stick w/Alexa Voice Remote works great!  We already have Apple TV, but wanted to watch Amazon prime videos on our TV so we basically purchased the Fire TV Stick for that purpose.The installation was very easy, much easier than installing the Apple TV by the way, and we're very happy with our purchase.  The Fire-Stick controller is larger and more substantial than the controller for Apple TV, and much easier to handle.Not only are we able to watch Amazon prime movies, etc., but we are also able to access Hulu and Netflix, Sling TV plus many others as well.  It's a great product.The Alexa Voice Remote function works very well too.  I would highly recommend this product."
"856","Love my new Fire TV Stick! Still learning to use my stick but so far it is fairly easy to navigate and I love that I can take the Fire TV stick with my anywhere. I do wish the part that actually plugs into the TV was longer, it comes with an adapter but only extends a couple inches (harder to plug into TV's that are wall-mounted.)"
"857","Amazing little device we have here. Works wonders, rarely freezes up. As long as you have a good wifi stream it does fine. Everythimg you could think to watch. Has so many options to choose from to stream from. We love it. We canceled our cable and just use this now."
"858","I cancelled my cable tv due to the cost kept rising and channel selection continued to decline.  Purchased this and it well worth the $40!  I don't watch much tv, but this actually has me watching movies occasionally!  If you are looking for a way to cut high cable/dish/satellite costs, this is a great beginning!"
"859","Easy to install & setup. One issue that I found is the stick can't figure out what to do should you have duplicate channels. You will have to speak the app name then the show. Took me a few times to get it. The stick will drop you in a pay to view app. Overall, I'm happy with how it works."
"860","I thought I wanted to return this when the remote stopped working. It wasn't until I held the home button down for 60 seconds did it pair again to the tv. It could definitely use some improvements, & there is a learning curve to get this to its full potential, but not a bad purchase. Will buy again for the guest bedroom."
"861","This was an impulse buy for Black Friday.  So glad I purchased it because it works really well specially for Prime members.  You can stream your Prime shows/movies and free music a la Pandora.  Netflix is also easily accessible with the stick.  We love it so much that we just ordered a 2nd one for our upstairs TV."
"862","Love my new amazon fire stick.  Sobe I'm a prime member.  I have all sorts of shows and movies available to me.  The Fire Stick is small and convenient to carry around on your travels and wherever there is awifi connection you can have tv and movies to watch."
"863","The only thing a little weird about this is the odd way it goes into the TV and then has to be plugged in. Still, it's a great deal, works great, and is inexpensive.Not sure what we would do if it were a TV up on a wall ... the power cord would not be good then."
"864","I absolutely love the Fire TV Stick with Alexa Voice Remote. It exceeded my expectations by how user friendly it is and how many options it gives for only a one time fee of $39.99.  I've tried it for almost a week and my husband and I decided we are getting rid of our cable.  I can get everything I want by purchasing the one time fee of $39.99 for the Fire TV Stick and SLING at $20 per month vs $148 that I pay monthly for cable.  Now my monthly bill will be $20 per month. I'm so grateful to Amazon for offering this at such an amazing price considering everything it offers and to SLING for everything it offers as well.  I was in doubt at first but now I'm a believer.  Absolutely awesome and highly recommend!!"
"865","I went with the Fire TV stick for my bedroom TV. I deducted one star because this needs to be plugged into an outlet - something not readily apparent given it plugs into the TV.Other than that, flawless performance out of the box. Easy setup - works well."
"866","Easy to use however opening the remote to install the batteries was horrible. I couldn't even open it and once it was open I couldn't get it to close properly. If you have poor grip, arthritis or any other issues with your hands do not purchase this. I have no issues with my hands yet I still could not open the back. In fact I got scratches now from having to try to pry it open. It's supposed to slide open using your thumbs but the remote is too skinny and the factory made dip in it to slide it does not work. It's next to impossible to hold a too small remote and use two thumbs to slide it open. In all honesty I should be returning this Fire stick for this reason only. So this is why it gets 3 stars"
"867","I like it. I tried directv now and live tv streaming with reliable cable wifi. I did not know you needed fast cable Internet.  12 mbps was recommended. Live tv streaming was little shaky at times. If you are an amazon prime member, there is lot of free movies and shows to see."
"868","love it! makes it easy to watch stuff on our amazon account - and i am sure there are many other capabilities I haven't even figured out yet! i think we can also access netflix and hulu on it...and probably a million other things. Will be GREAT for traveling"
"869","This truly is plug and play.  Netflix and Prime are so much better.  We were using an old Wii 2, and there was lots of buffering.  So glad I found this, and the price was terrific.  The voice remote works with no set-up.  I am very pleased with this product."
"870","We are a little disappointed with it because we were told you could get some news and tv shows, which now are recorded.  I do like Alexa, she gets us updated on the weather everyday and helps with selecting music. Would I recommend Fire TV Stick, absolutely."
"871","This works as explained, but has not been the success that I'd hoped.  We bought several for our apartment tenants, hoping to wean them from expensive cable TV.  The tenants are very resistant and are disappointed about the lack of live news/sports. Our property manager is frustrated with trying to teach them how to use the system and especially with the non English (Spanish) tenants who want it set up in Spanish. Our next step may be to purchase Hulu subscriptions for them to try."
"872","Made an old TV into a smart TV with lots of options. I also have a Roku basic stick on another TV. The Roku is $5 less and seems to offer a lot of the same features. To enjoy the fire stick at its fullest need to be an Amazon Prime customer and download Kodi"
"873","So far so good. I received it on Monday but didn't pick it up from my post office until today (Wednesday). As soon as I got home, I opened the box. Everything in the package was brand new. I went to insert the batteries but couldn't get the cover off, even after following the directions. Finally 7 minutes later, I was able to get the battery cover off. I instantly went to install Kodi since I've been hearing everyone talk about it. It took about 30 minutes to install because the first time I tried, the setup didn't work because the directions I viewed on youtube was an older version, so I had to start over. The 2nd time I tried it took 15 minutes (just had to find the right video guide). I'm loving my fire stick so far."
"874","Loving it,  Been watching it nonstop since  I got it. Sometimes it stops fast forwarding and I have to close and reopen a show if I want it to rewind or fast forward, but other than that it is perfect. Never will have cable again.UPDATE:The rewind and fast forwarding problem is no longer an issue.  There must have been an automatic update which corrected the issue."
"875","If you do not have a 'smart tv' and enjoy Amazon or Netflix - this is a must.  We love it!  Pretty easy set-up... if you have any issues, read some of the step-by-step instructions in other reviews - they are very helpful.  (Thank you to those of you who take the time to post them!)"
